13|6|Hurmos|Hämeenkyrö|Jari Ahde|jari@ahde.fi
14|6|Liukas|Lempäälä|Mikael Kosola|mikael@kosola.fi
15|6|Veto|Kivijärvi|Erkki Karjalainen|erkki@karjalainen.fi
16|5|Junkkarit|Kalajoki|Jussi Jokinen|jussi@jokinen.fi
18|4|HPK|Hämeenlinna|Seija Suomela|seija@suomela.fi
19|6|Laukka|Oripää|Kari Inbox|kari@inbox.fi
20|4|JYP|Jyväskylä|Valtra|info@valtra.fi
21|6|Cowboys|Kaavi|Buffalo Bill|buffalo@bill.fi
22|6|Kiekkoklubi|Jakobstad|Pertti Paananen|pertti@paananen.fi
23|5|Panssari|Parkano|Pasi Pantteri|pasi@pantteri.fi
24|6|Ketut|Huittinen|Kullervo Karlsson|kullervo@karlsson.fi
25|4|Kärpät|Oulu|Juha Junno|juha@junno.fi
26|6|Pamaus|Pello|Arto Kujala|arto@kujala.fi
27|6|Turmio|Kolari|Sami West|sami@west.fi
28|5|Kiekkoilijat|Kuusamo|Matti Ojantakanen|matti@ojantakanen.fi
29|6|Kollit|Kerava|rane|rane@seinaanpotkiitaysii.fi
30|5|Betoni|Kouvola|Jami Vesterinen|jami@vesterinen.fi
31|5|Luuvitonen|Lempäälä|Ville Turja|ville@turja.fi
32|5|Veto|Jyväskylä|Frederik Puistola|frederik@puistola.fi
33|5|Sudet|Alavus|Valma Lohikoski|valma@lohikoski.fi
35|4|KalPa|Kuopio|Esa Pakarinen|esa@pakarinen.fi
36|6|Lokit|Merikarvia|Olli Kervinen|olli@kervinen.fi
37|6|Muumit|Naantali|Tove Jansson|tove@jansson.fi
38|6|Huuto|Hirvensalmi|Aki Palsanmäki|aki@palsanmäki.fi
39|5|Haukat|Kotka|Juha Vainio|juha@vainio.fi
40|4|Pallokerho|Forssa|Louis Lane|louis@lane.fi
41|4|Ahmat|Liminka|Kirsi Laakso|kirsi@laakso.fi
42|6|Jokerit|Helsinki|Hjallis Harkimoi|hjallis@harkimoi.fi
43|4|Tappara|Tampere|Ville Nieminen|ville@nieminen.fi
44|4|Ilves|Tampere|Snoop Dogg|snoop@dogg.fi
45|4|SaiPa|Lappeenranta|Nikola Tesla|nikola@tesla.fi
46|4|Sport|Vaasa|Sergei Fedorov|sergei@fedorov.fi
47|4|TPS|Turku|Saku Koivu|saku@koivu.fi
48|5|TuTo|Turku|Teppo Numminen|teppo@numminen.fi
50|6|Ilves|Ii|Mauri Mäyrä|mauri@mayra.fi
51|5|Ilves|Alahärmä|Isontalon Antti|isontalon@antti.fi
